CellType,BarID,DeviceID,CellID,X,Y
Bar1B,G1_1B,48,Bar1B_G1_1B_48,-20868,49980.5
Bar1B,G1_1B,49,Bar1B_G1_1B_49,-20868,49730.5
Bar1B,G1_1B,50,Bar1B_G1_1B_50,-20868,49480.5
Bar1B,G1_1B,51,Bar1B_G1_1B_51,-20868,49230.5
Bar1B,G1_1B,52,Bar1B_G1_1B_52,-20868,48980.5
Bar1B,G1_1B,53,Bar1B_G1_1B_53,-20868,48730.5
Bar1B,G1_1B,54,Bar1B_G1_1B_54,-20868,48480.5
Bar1B,G1_1B,55,Bar1B_G1_1B_55,-20868,48230.5
Bar1B,G1_1B,56,Bar1B_G1_1B_56,-20868,47980.5
Bar1B,G1_1B,57,Bar1B_G1_1B_57,-20868,47730.5
Bar1B,G1_1B,58,Bar1B_G1_1B_58,-20868,47480.5
Bar1B,G1_1B,59,Bar1B_G1_1B_59,-20868,47230.5
Bar1B,G1_1B,60,Bar1B_G1_1B_60,-20868,46980.5
Bar1B,G1_1B,61,Bar1B_G1_1B_61,-20868,46730.5
Bar1B,G1_1B,62,Bar1B_G1_1B_62,-20868,46480.5
Bar1B,G1_1B,63,Bar1B_G1_1B_63,-20868,46230.5
Bar1B,G1_1B,64,Bar1B_G1_1B_64,-20868,45980.5
Bar1B,G1_1B,65,Bar1B_G1_1B_65,-20868,45730.5
Bar1B,G1_1B,66,Bar1B_G1_1B_66,-20868,45480.5
Bar1B,G1_1B,67,Bar1B_G1_1B_67,-20868,45230.5
Bar1C,G1_1C,1,Bar1C_G1_1C_01,-20068,61730.5
Bar1C,G1_1C,2,Bar1C_G1_1C_02,-20068,61480.5
Bar1C,G1_1C,3,Bar1C_G1_1C_03,-20068,61230.5
Bar1C,G1_1C,4,Bar1C_G1_1C_04,-20068,60980.5
Bar1C,G1_1C,5,Bar1C_G1_1C_05,-20068,60730.5
Bar1C,G1_1C,6,Bar1C_G1_1C_06,-20068,60480.5
Bar1C,G1_1C,7,Bar1C_G1_1C_07,-20068,60230.5
Bar1C,G1_1C,8,Bar1C_G1_1C_08,-20068,59980.5
Bar1C,G1_1C,9,Bar1C_G1_1C_09,-20068,59730.5
Bar1C,G1_1C,10,Bar1C_G1_1C_10,-20068,59480.5
Bar1C,G1_1C,11,Bar1C_G1_1C_11,-20068,59230.5
Bar1C,G1_1C,12,Bar1C_G1_1C_12,-20068,58980.5
Bar1C,G1_1C,13,Bar1C_G1_1C_13,-20068,58730.5
Bar1C,G1_1C,14,Bar1C_G1_1C_14,-20068,58480.5
Bar1C,G1_1C,15,Bar1C_G1_1C_15,-20068,58230.5
Bar1C,G1_1C,16,Bar1C_G1_1C_16,-20068,57980.5
Bar1C,G1_1C,17,Bar1C_G1_1C_17,-20068,57730.5
Bar1C,G1_1C,18,Bar1C_G1_1C_18,-20068,57480.5
Bar1C,G1_1C,19,Bar1C_G1_1C_19,-20068,57230.5
Bar1C,G1_1C,20,Bar1C_G1_1C_20,-20068,56980.5
Bar1C,G1_1C,21,Bar1C_G1_1C_21,-20068,56730.5
Bar1C,G1_1C,22,Bar1C_G1_1C_22,-20068,56480.5
Bar1C,G1_1C,23,Bar1C_G1_1C_23,-20068,56230.5
Bar1C,G1_1C,24,Bar1C_G1_1C_24,-20068,55980.5
Bar1C,G1_1C,25,Bar1C_G1_1C_25,-20068,55730.5
Bar1C,G1_1C,26,Bar1C_G1_1C_26,-20068,55480.5
Bar1C,G1_1C,27,Bar1C_G1_1C_27,-20068,55230.5
Bar1C,G1_1C,28,Bar1C_G1_1C_28,-20068,54980.5
Bar1C,G1_1C,29,Bar1C_G1_1C_29,-20068,54730.5
Bar1C,G1_1C,30,Bar1C_G1_1C_30,-20068,54480.5
Bar1C,G1_1C,31,Bar1C_G1_1C_31,-20068,54230.5
Bar1C,G1_1C,32,Bar1C_G1_1C_32,-20068,53980.5
Bar1C,G1_1C,33,Bar1C_G1_1C_33,-20068,53730.5
Bar1C,G1_1C,34,Bar1C_G1_1C_34,-20068,53480.5
Bar1C,G1_1C,35,Bar1C_G1_1C_35,-20068,53230.5
Bar1C,G1_1C,36,Bar1C_G1_1C_36,-20068,52980.5
Bar1C,G1_1C,37,Bar1C_G1_1C_37,-20068,52730.5
Bar1C,G1_1C,38,Bar1C_G1_1C_38,-20068,52480.5
Bar1C,G1_1C,39,Bar1C_G1_1C_39,-20068,52230.5
Bar1C,G1_1C,40,Bar1C_G1_1C_40,-20068,51980.5
Bar1C,G1_1C,41,Bar1C_G1_1C_41,-20068,51730.5
Bar1C,G1_1C,42,Bar1C_G1_1C_42,-20068,51480.5
Bar1C,G1_1C,43,Bar1C_G1_1C_43,-20068,51230.5
Bar1C,G1_1C,44,Bar1C_G1_1C_44,-20068,50980.5
Bar1C,G1_1C,45,Bar1C_G1_1C_45,-20068,50730.5
Bar1C,G1_1C,46,Bar1C_G1_1C_46,-20068,50480.5
Bar1C,G1_1C,47,Bar1C_G1_1C_47,-20068,50230.5
Bar1C,G1_1C,48,Bar1C_G1_1C_48,-20068,49980.5
Bar1C,G1_1C,49,Bar1C_G1_1C_49,-20068,49730.5
Bar1C,G1_1C,50,Bar1C_G1_1C_50,-20068,49480.5
Bar1C,G1_1C,51,Bar1C_G1_1C_51,-20068,49230.5
Bar1C,G1_1C,52,Bar1C_G1_1C_52,-20068,48980.5
Bar1C,G1_1C,53,Bar1C_G1_1C_53,-20068,48730.5
Bar1C,G1_1C,54,Bar1C_G1_1C_54,-20068,48480.5
Bar1C,G1_1C,55,Bar1C_G1_1C_55,-20068,48230.5
Bar1C,G1_1C,56,Bar1C_G1_1C_56,-20068,47980.5
Bar1C,G1_1C,57,Bar1C_G1_1C_57,-20068,47730.5
Bar1C,G1_1C,58,Bar1C_G1_1C_58,-20068,47480.5
Bar1C,G1_1C,59,Bar1C_G1_1C_59,-20068,47230.5
Bar1C,G1_1C,60,Bar1C_G1_1C_60,-20068,46980.5
Bar1C,G1_1C,61,Bar1C_G1_1C_61,-20068,46730.5
Bar1C,G1_1C,62,Bar1C_G1_1C_62,-20068,46480.5
Bar1C,G1_1C,63,Bar1C_G1_1C_63,-20068,46230.5
Bar1C,G1_1C,64,Bar1C_G1_1C_64,-20068,45980.5
Bar1C,G1_1C,65,Bar1C_G1_1C_65,-20068,45730.5
Bar1C,G1_1C,66,Bar1C_G1_1C_66,-20068,45480.5
Bar1C,G1_1C,67,Bar1C_G1_1C_67,-20068,45230.5
Bar1D,G1_1D,1,Bar1D_G1_1D_01,-19068,61730.5
Bar1D,G1_1D,2,Bar1D_G1_1D_02,-19068,61480.5
Bar1D,G1_1D,3,Bar1D_G1_1D_03,-19068,61230.5
Bar1D,G1_1D,4,Bar1D_G1_1D_04,-19068,60980.5
Bar1D,G1_1D,5,Bar1D_G1_1D_05,-19068,60730.5
Bar1D,G1_1D,6,Bar1D_G1_1D_06,-19068,60480.5
Bar1D,G1_1D,7,Bar1D_G1_1D_07,-19068,60230.5
Bar1D,G1_1D,8,Bar1D_G1_1D_08,-19068,59980.5
Bar1D,G1_1D,9,Bar1D_G1_1D_09,-19068,59730.5
Bar1D,G1_1D,10,Bar1D_G1_1D_10,-19068,59480.5
Bar1D,G1_1D,11,Bar1D_G1_1D_11,-19068,59230.5
Bar1D,G1_1D,12,Bar1D_G1_1D_12,-19068,58980.5
Bar1D,G1_1D,13,Bar1D_G1_1D_13,-19068,58730.5
Bar1D,G1_1D,14,Bar1D_G1_1D_14,-19068,58480.5
Bar1D,G1_1D,15,Bar1D_G1_1D_15,-19068,58230.5
Bar1D,G1_1D,16,Bar1D_G1_1D_16,-19068,57980.5
Bar1D,G1_1D,17,Bar1D_G1_1D_17,-19068,57730.5
Bar1D,G1_1D,18,Bar1D_G1_1D_18,-19068,57480.5
Bar1D,G1_1D,19,Bar1D_G1_1D_19,-19068,57230.5
Bar1D,G1_1D,20,Bar1D_G1_1D_20,-19068,56980.5
Bar1D,G1_1D,21,Bar1D_G1_1D_21,-19068,56730.5
Bar1D,G1_1D,22,Bar1D_G1_1D_22,-19068,56480.5
Bar1D,G1_1D,23,Bar1D_G1_1D_23,-19068,56230.5
Bar1D,G1_1D,24,Bar1D_G1_1D_24,-19068,55980.5
Bar1D,G1_1D,25,Bar1D_G1_1D_25,-19068,55730.5
Bar1D,G1_1D,26,Bar1D_G1_1D_26,-19068,55480.5
Bar1D,G1_1D,27,Bar1D_G1_1D_27,-19068,55230.5
Bar1D,G1_1D,28,Bar1D_G1_1D_28,-19068,54980.5
Bar1D,G1_1D,29,Bar1D_G1_1D_29,-19068,54730.5
Bar1D,G1_1D,30,Bar1D_G1_1D_30,-19068,54480.5
Bar1D,G1_1D,31,Bar1D_G1_1D_31,-19068,54230.5
Bar1D,G1_1D,32,Bar1D_G1_1D_32,-19068,53980.5
Bar1D,G1_1D,33,Bar1D_G1_1D_33,-19068,53730.5
Bar1D,G1_1D,34,Bar1D_G1_1D_34,-19068,53480.5
Bar1D,G1_1D,35,Bar1D_G1_1D_35,-19068,53230.5
Bar1D,G1_1D,36,Bar1D_G1_1D_36,-19068,52980.5
Bar1D,G1_1D,37,Bar1D_G1_1D_37,-19068,52730.5
Bar1D,G1_1D,38,Bar1D_G1_1D_38,-19068,52480.5
Bar1D,G1_1D,39,Bar1D_G1_1D_39,-19068,52230.5
Bar1D,G1_1D,40,Bar1D_G1_1D_40,-19068,51980.5
Bar1D,G1_1D,41,Bar1D_G1_1D_41,-19068,51730.5
Bar1D,G1_1D,42,Bar1D_G1_1D_42,-19068,51480.5
Bar1D,G1_1D,43,Bar1D_G1_1D_43,-19068,51230.5
Bar1D,G1_1D,44,Bar1D_G1_1D_44,-19068,50980.5
Bar1D,G1_1D,45,Bar1D_G1_1D_45,-19068,50730.5
Bar1D,G1_1D,46,Bar1D_G1_1D_46,-19068,50480.5
Bar1D,G1_1D,47,Bar1D_G1_1D_47,-19068,50230.5
Bar1D,G1_1D,48,Bar1D_G1_1D_48,-19068,49980.5
Bar1D,G1_1D,49,Bar1D_G1_1D_49,-19068,49730.5
Bar1D,G1_1D,50,Bar1D_G1_1D_50,-19068,49480.5
Bar1D,G1_1D,51,Bar1D_G1_1D_51,-19068,49230.5
Bar1D,G1_1D,52,Bar1D_G1_1D_52,-19068,48980.5
Bar1D,G1_1D,53,Bar1D_G1_1D_53,-19068,48730.5
Bar1D,G1_1D,54,Bar1D_G1_1D_54,-19068,48480.5
Bar1D,G1_1D,55,Bar1D_G1_1D_55,-19068,48230.5
Bar1D,G1_1D,56,Bar1D_G1_1D_56,-19068,47980.5
Bar1D,G1_1D,57,Bar1D_G1_1D_57,-19068,47730.5
Bar1D,G1_1D,58,Bar1D_G1_1D_58,-19068,47480.5
Bar1D,G1_1D,59,Bar1D_G1_1D_59,-19068,47230.5
Bar1D,G1_1D,60,Bar1D_G1_1D_60,-19068,46980.5
Bar1D,G1_1D,61,Bar1D_G1_1D_61,-19068,46730.5
Bar1D,G1_1D,62,Bar1D_G1_1D_62,-19068,46480.5
